                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.83382,                 1.4458,                0.64067,                 1.0136,                 0.8829,                0.85495,                0.91329,                0.65061,                0.87991,                0.85154,                0.90851,                0.64547,                0.98588,                 1.4674,                0.61962,                 1.1647,              0.0088516,              0.0088516,              0.0088516
                     60,                0.82651,                 1.4234,                0.62703,                 1.0143,                0.88242,                0.87088,                0.92654,                0.66698,                0.88415,                0.87259,                 0.9222,                0.65743,                0.98546,                 1.4816,                0.58643,                 1.1408,              0.0088318,              0.0088318,              0.0088318
                     61,                 0.8356,                 1.4559,                 0.6405,                 1.0203,                0.90254,                0.85337,                0.92336,                0.66716,                0.90434,                0.85508,                0.92117,                0.65466,                0.97431,                 1.4958,                0.57958,                 1.1457,               0.008812,               0.008812,               0.008812
                     62,                0.82391,                 1.4289,                0.62754,                 1.0167,                0.90899,                0.84642,                0.93091,                0.67447,                0.92691,                0.84983,                0.93139,                 0.6616,                0.97158,                 1.4583,                0.58398,                 1.1518,              0.0087922,              0.0087922,              0.0087922
                     63,                0.82608,                 1.4116,                0.62507,                 1.0129,                0.90812,                0.86016,                0.93271,                0.66454,                0.90451,                0.85675,                0.92608,                0.65678,                0.97539,                 1.4422,                0.58615,                 1.1534,              0.0087724,              0.0087724,              0.0087724
                     64,                0.82365,                 1.4208,                0.61813,                 1.0156,                0.89246,                0.84974,                0.92254,                0.67036,                0.91663,                0.83447,                0.92621,                0.66082,                0.98343,                  1.412,                0.58778,                 1.1453,              0.0087526,              0.0087526,              0.0087526
                     65,                 0.8162,                 1.3984,                0.62303,                 1.0048,                0.84629,                0.83618,                 0.9139,                0.65737,                0.84974,                0.83959,                0.90909,                0.64374,                0.98965,                 1.4499,                 0.6331,                 1.1578,              0.0087328,              0.0087328,              0.0087328
                     66,                0.82164,                  1.412,                0.62684,                 1.0087,                0.87375,                0.84812,                0.92639,                0.66101,                0.87042,                0.84642,                 0.9169,                0.65082,                0.98501,                 1.5107,                0.61014,                 1.1443,               0.008713,               0.008713,               0.008713
                     67,                0.79867,                 1.3727,                0.59787,                  1.001,                0.86181,                0.87267,                0.92787,                0.67013,                0.86512,                0.87565,                0.92933,                0.66094,                0.94761,                 1.4432,                0.58056,                 1.1389,              0.0086932,              0.0086932,              0.0086932
                     68,                0.80809,                 1.4058,                0.60481,                 1.0041,                0.86988,                0.85563,                0.91931,                0.67682,                0.87229,                0.85666,                 0.9143,                0.65495,                0.93901,                 1.4207,                0.60247,                 1.1155,              0.0086734,              0.0086734,              0.0086734
                     69,                0.80072,                 1.3802,                0.60766,                0.99597,                0.84921,                0.86496,                0.91279,                0.66362,                0.84326,                0.85385,                0.91305,                 0.6465,                0.97254,                 1.4597,                0.61096,                 1.1472,              0.0086536,              0.0086536,              0.0086536
                     70,                0.80839,                 1.3987,                0.61485,                 1.0043,                0.87017,                0.83276,                0.91184,                0.66055,                 0.8794,                 0.8413,                 0.9171,                0.65575,                0.97653,                 1.4451,                0.60174,                 1.1457,              0.0086338,              0.0086338,              0.0086338
                     71,                0.80804,                 1.3818,                0.59885,                 1.0073,                0.91352,                0.84727,                 0.9344,                0.67541,                0.91122,                0.85821,                0.93506,                0.66587,                0.96019,                 1.4156,                0.56788,                 1.1237,               0.008614,               0.008614,               0.008614
                     72,                0.79278,                 1.3637,                0.60185,                0.99371,                0.84737,                 0.8942,                0.93341,                0.67634,                0.90352,                0.83447,                0.93232,                0.66284,                0.97448,                 1.4435,                0.58452,                 1.1234,              0.0085942,              0.0085942,              0.0085942
                     73,                0.79247,                 1.3706,                0.59245,                0.99201,                0.89793,                0.83447,                0.92977,                0.68176,                0.89786,                0.82508,                 0.9239,                0.66303,                0.94619,                 1.4513,                 0.5807,                 1.1043,              0.0085744,              0.0085744,              0.0085744
                     74,                0.78806,                 1.3598,                0.59426,                0.99271,                0.88164,                0.87884,                0.93171,                0.66771,                0.88017,                0.87737,                0.92565,                0.65895,                0.96456,                 1.4031,                0.57572,                 1.1317,              0.0085546,              0.0085546,              0.0085546
                     75,                0.78676,                 1.3587,                0.58207,                0.99134,                0.89631,                0.86007,                  0.934,                0.67858,                0.89631,                0.86007,                0.93161,                0.66103,                0.94115,                 1.4189,                0.57649,                 1.1124,              0.0085348,              0.0085348,              0.0085348
                     76,                0.78729,                 1.3881,                0.59372,                0.99365,                0.93335,                0.81256,                0.92415,                0.66983,                0.94146,                0.81911,                0.93181,                0.65664,                 0.9535,                  1.454,                0.57961,                 1.1242,               0.008515,               0.008515,               0.008515
                     77,                0.79131,                 1.3516,                0.59627,                0.99517,                0.87929,                0.85154,                0.92376,                0.66842,                0.87748,                0.85551,                0.92051,                0.65214,                0.94995,                 1.4471,                0.59121,                 1.1219,              0.0084952,              0.0084952,              0.0084952
                     78,                0.78099,                 1.3673,                0.57871,                 0.9898,                0.88036,                0.86689,                0.93007,                0.67184,                  0.886,                0.86211,                0.92857,                0.65751,                0.97279,                  1.455,                0.56755,                 1.1459,              0.0084754,              0.0084754,              0.0084754
                     79,                0.77715,                 1.3555,                0.57483,                0.99011,                0.88561,                0.87201,                0.93037,                0.67113,                0.90438,                0.85544,                0.92744,                0.66305,                0.95994,                 1.4447,                0.58171,                 1.1367,              0.0084556,              0.0084556,              0.0084556
                     80,                 0.7796,                 1.3508,                0.57382,                0.99262,                 0.8916,                0.88427,                0.93835,                0.68492,                0.90149,                 0.8589,                0.93183,                0.67514,                0.93466,                 1.4396,                0.56591,                 1.1225,              0.0084358,              0.0084358,              0.0084358
                     81,                0.77236,                 1.3183,                0.57623,                0.98556,                0.88406,                0.89782,                0.93451,                0.68022,                0.89063,                0.90327,                0.93517,                0.67009,                0.94701,                  1.403,                 0.5589,                   1.12,               0.008416,               0.008416,               0.008416
                     82,                0.77945,                 1.3373,                0.57353,                0.98884,                0.89727,                0.86453,                0.93097,                0.68159,                0.90254,                0.86912,                0.93402,                0.66972,                0.93153,                 1.4275,                0.56232,                  1.121,              0.0083962,              0.0083962,              0.0083962
                     83,                0.77414,                 1.3336,                0.57103,                0.98313,                0.85046,                0.90255,                0.92491,                0.67445,                0.92504,                0.83618,                0.92062,                0.66571,                0.94364,                 1.4034,                0.56932,                 1.1326,              0.0083764,              0.0083764,              0.0083764
                     84,                0.76853,                  1.317,                0.56751,                0.98588,                0.90175,                0.86007,                0.93274,                0.68527,                 0.9078,                0.86348,                0.93266,                 0.6758,                0.95187,                 1.3957,                0.55804,                 1.1271,              0.0083566,              0.0083566,              0.0083566
                     85,                0.77012,                 1.3572,                0.58244,                0.98741,                0.87533,                0.86348,                0.92912,                0.68545,                0.88186,                0.87031,                0.92737,                0.66796,                0.92104,                 1.4171,                0.58328,                 1.1114,              0.0083368,              0.0083368,              0.0083368
                     86,                 0.7695,                 1.3218,                0.56565,                0.98465,                0.88601,                0.85495,                0.92478,                0.68999,                0.88794,                0.85836,                0.92792,                0.67029,                0.92151,                 1.3977,                0.58262,                 1.1156,               0.008317,               0.008317,               0.008317
                     87,                0.76466,                  1.332,                0.56563,                0.98238,                0.88842,                0.87713,                0.93187,                0.68263,                0.89384,                0.86348,                0.92397,                0.66751,                0.92643,                 1.4211,                0.57926,                 1.1018,              0.0082972,              0.0082972,              0.0082972
                     88,                0.76509,                 1.3296,                0.56493,                0.97996,                0.87744,                0.85495,                0.93443,                0.68618,                0.90541,                0.84943,                0.93414,                0.68098,                0.94792,                 1.3638,                0.56309,                 1.1164,              0.0082774,              0.0082774,              0.0082774
                     89,                0.76831,                 1.3287,                0.56634,                0.98582,                 0.8984,                0.89078,                0.94188,                0.68418,                0.89716,                 0.8942,                0.93617,                0.66925,                0.93346,                 1.3977,                0.55012,                   1.11,              0.0082576,              0.0082576,              0.0082576
                     90,                0.76521,                 1.3226,                0.56434,                0.98406,                0.88142,                0.91468,                0.93655,                0.68547,                0.88471,                0.91809,                0.93568,                0.66828,                0.92823,                  1.402,                0.55971,                 1.1037,              0.0082378,              0.0082378,              0.0082378
                     91,                0.75108,                 1.2878,                 0.5443,                0.97596,                 0.8895,                0.88567,                0.93396,                0.68454,                0.88519,                0.89468,                0.93448,                0.67108,                0.93326,                  1.399,                0.56418,                 1.1159,               0.008218,               0.008218,               0.008218
                     92,                0.74732,                 1.2965,                0.54802,                0.97584,                0.87953,                0.86689,                 0.9296,                0.68054,                0.89867,                0.85495,                  0.924,                0.66781,                0.93831,                 1.3957,                0.56125,                  1.116,              0.0081982,              0.0081982,              0.0081982
                     93,                0.74779,                 1.3062,                0.55519,                0.97558,                0.87323,                0.90102,                0.93772,                0.69001,                0.87032,                0.91468,                0.94228,                0.67927,                0.92947,                  1.362,                 0.5556,                  1.111,              0.0081784,              0.0081784,              0.0081784
